id,type,text,category,deterministic,characteristic_form,group,entity,note
2,IoT,Can you list the IoT sites?,Knowledge Query,True,"The expected response should be the return value of all sites, either as text or as a reference to a file",retrospective,Site,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
3,IoT,What assets can be found at the MAIN site?,Knowledge Query,True,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,retrospective,Site,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
4,IoT,Which assets are located at the MAIN facility?,Knowledge Query,True,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,retrospective,Equipment,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
6,IoT,Get the asset details for Chiller 9 at the MAIN site.,Data Query,True,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
7,IoT,Download the metadata for Chiller 3 at the MAIN facility.,Data Query,True,"The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
9,IoT,Retrieve sensor data for Chiller 6's % Loaded from June 2020 at MAIN.,Data Query,True,"The expected response should be the % Loaded measurements for the asset 'Chiller 6' at the MAIN site. It should include all recorded values for June 1, 2020 througb June 30, 2020 inclusive. The response should be a reference to a file containing the % Loaded data",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
11,IoT,Download all sensor data for Chiller 6 from the last week of April '20 at the MAIN site.,Data Query,True,The expected response should be data from all sensors for asset 'Chiller 6' at the MAIN site for the past week.  The return value should reference a file containing all the sensor data,retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
41,IoT,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,Knowledge Query,True,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
43,IoT,how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?,Knowledge Query,True,"The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.",retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
44,IoT,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,Knowledge Query,True,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
46,IoT,retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?,Knowledge Query,True,The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.,retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
47,IoT,list all the chillers at site MAIN,Knowledge Query,True,The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.,retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
101,FMSA,List all failure modes of asset Chiller.,Knowledge Query,True,"The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query
105,FMSA,Provide some sensors of asset Wind Turbine.,Knowledge Query,False,the answer should contain a list of sensor names for asset wind turbine.,retrospective,WindTurbine,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
106,FMSA,List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.,Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
110,FMSA,Are there any failure modes of Chiller 6 that can be predicted by monitoring the vibration sensor data?,Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",predictive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
111,FMSA,List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.,Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
112,FMSA," If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?",Knowledge Query,False,"the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.]",prescriptive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
113,FMSA," If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?",Knowledge Query,False,"the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
115,FMSA,"Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?",Knowledge Query,False,the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6,retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
116,FMSA,Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.,Knowledge Query,False,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,prescriptive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
118,FMSA,"When power input of Chiller 6 drops, what is the potential failure that causes it?",Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
119,FMSA,"When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?",Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
120,FMSA,"I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,",Knowledge Query,False,"the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",prescriptive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
202,TSFM,What are time series pretrained models are available in system?,Knowledge Query,True,"The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",predictive,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
203,TSFM,Are any time series forecasting models supported?,Knowledge Query,True,"The expected response should be: Yes, several time series forecasting models are supported.",predictive,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
204,TSFM,"Is TTM (Tiny Time Mixture), a time series model supported?",Knowledge Query,True,"The expected response should be: Yes, several TTM models are supported",retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
206,TSFM,Is Chronos model supported in TSFM?,Knowledge Query,True,"The expected response should be: No, Chronos is not supported",retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
208,TSFM,Is Time Series Classification supported in TSFM?,Knowledge Query,True,The expected response should be: Time Series Classification is not supported in TSFM,retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
210,TSFM,Is any model with context length 1024 supported in TSFM?,Knowledge Query,True,"The expected response should be: No, there is no model with context length 1024",retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
211,TSFM,Find a model for energy forecasting.,Knowledge Query,True,"The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",predictive,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
213,TSFM,Find all models with context length 96.,Knowledge Query,True,"The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]",retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query
216,TSFM,"Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'",Inference Query,True,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,predictive,Chiller,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query
221,TSFM,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp. Use 1% of data for tuning,Tuning Query,True,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},predictive,Chiller,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query
222,TSFM,I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv,Anomaly Detection Query,True,The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv,predictive,Chiller,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Anomaly Detection Query
223,TSFM,Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,Complex Query,True,The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file,retrospective,Chiller,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Complex Query
400,Workorder,Get the work order of equipment CWC04013 for year 2017.,Knowledge Query,True,"There will be 33 records. The expected response should retrieve all work orders for equipment CWC04013 in the year 2017, ensuring correct equipment ID and time filtering.",retrospective,Equipment,Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query
403,Workorder,I would like to retrieve the corrective work order details for the equipment labeled as CWC04013 for the year 2017.,Knowledge Query,True,"The output is two corrective work orders. The expected response should retrieve corrective maintenance work orders for CWC04013 during 2017, verifying correct work order type and year.",retrospective,Equipment,Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query
