id,type,text,category,deterministic,characteristic_form,group,entity,note
1,IoT,What IoT sites are available?,Knowledge Query,True,"The expected response should be the return value of all sites, either as text or as a reference to a file",retrospective,Site,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
2,IoT,Can you list the IoT sites?,Knowledge Query,True,"The expected response should be the return value of all sites, either as text or as a reference to a file",retrospective,Site,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
3,IoT,What assets can be found at the MAIN site?,Knowledge Query,True,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,retrospective,Site,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
4,IoT,Which assets are located at the MAIN facility?,Knowledge Query,True,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,retrospective,Equipment,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
5,IoT,Retrieve metadata for Chiller 6 located at the MAIN site.,Data Query,True,"The expected response should be the metadata for asset 'Chiller 6' at the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
6,IoT,Get the asset details for Chiller 9 at the MAIN site.,Data Query,True,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
7,IoT,Download the metadata for Chiller 3 at the MAIN facility.,Data Query,True,"The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query
41,IoT,What was the latest supply humidity from CQPA AHU 1 at site MAIN on sept 3 2015? return in a file,Knowledge Query,True,"The expected response should be the latest value for the supply humidity on asset CQPA AHU 1 at the MAIN site, on Septemer 3, 2015. The return value should reference a file containing the supply humidity data",retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
43,IoT,how much power was CQPA AHU 1 (MAIN site) using on 6/14/20?,Knowledge Query,True,"The expected response should be either a list of power consumption values for asset CQPA AHU 1 at the MAIN site on June 14, 2016, or the average power consumption on June 14, 2016. The returned value should either be the average power consumption, or a reference to a file containing the power consumption values for the date June 14, 2016.",retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
44,IoT,Can I list all the metrics monitored by CQPA AHU 2B? use site MAIN,Knowledge Query,True,The expected response should be a list of all the metrics which may be obtained for asset CQPA AHU 2B? at the MAIN site.  The return value should be a reference to a file which lists the metrics.,retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
45,IoT,"What is the power consumption of CQPA AHU 1 on mar 13 '20, site MAIN?",Knowledge Query,True,"The expected response should be a list of the power consumption values for asset CQPA AHU 1 at the MAIN site for January 13, 2023, or the average power consumption for January 13, 2023.  The returned value should be a reference to a file, or else a single average power number.",retrospective,AHU,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
47,IoT,list all the chillers at site MAIN,Knowledge Query,True,The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.,retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query
101,FMSA,List all failure modes of asset Chiller.,Knowledge Query,True,"The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query
102,FMSA,List all failure modes of asset Chiller 6.,Knowledge Query,True,"The failure modes of asset Chiller 6 are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query
103,FMSA,List all failure modes of asset Wind Turbine.,Knowledge Query,False,the answer should contain a list of meaningful failure modes for asset wind turbine.,retrospective,WindTurbine,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
104,FMSA,List all installed sensors of asset Chiller 6.,Knowledge Query,True,"The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.",retrospective,Chiller,Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query
105,FMSA,Provide some sensors of asset Wind Turbine.,Knowledge Query,False,the answer should contain a list of sensor names for asset wind turbine.,retrospective,WindTurbine,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
106,FMSA,List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.,Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
